Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
<i>Trichoderma</i>: the genomics of opportunistic success,HERRERA ESTRELLA ALFREDO HERIBERTO,10,,NATURE REVIEWS MICROBIOLOGY,OCT 2011,9,,,619,44.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,35,37,37,53,39,53,51,70,84,65,49,27
Comparative genome sequence analysis underscores mycoparasitism as the ancestral life style of <i>Trichoderma</i>,HERRERA ESTRELLA ALFREDO HERIBERTO,64,,GENOME BIOLOGY,2011,12,,,461,32.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,36,49,31,37,31,41,28,40,38,42,40,17
<i>Trichoderma</i> Research in the Genome Era,HERRERA ESTRELLA ALFREDO HERIBERTO,5,"VanAlfen, NK","ANNUAL REVIEW OF PHYTOPATHOLOGY, VOL 51",2013,51,,,273,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,20,29,12,17,31,40,39,31,38,8
<i>Trichoderma</i> as biostimulant: exploiting the multilevel properties of a plant beneficial fungus,HERRERA ESTRELLA ALFREDO HERIBERTO,3,,SCIENTIA HORTICULTURAE,NOV 30 2015,196,,,251,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,18,24,47,35,45,33,29
Architecture and evolution of a minute plant genome,HERRERA ESTRELLA ALFREDO HERIBERTO,29,,NATURE,JUN 6 2013,498,,,249,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,25,25,31,26,22,24,27,14,11,8
"Fungal Morphogenesis, from the Polarized Growth of Hyphae to Complex Reproduction and Infection Structures",HERRERA ESTRELLA ALFREDO HERIBERTO,13,,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,JUN 2018,82,,,202,28.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,47,45,30,43,12
Biological control of the root-knot nematode <i>Meloidogyne javanica</i> by <i>Trichoderma harzianum</i>,HERRERA ESTRELLA ALFREDO HERIBERTO,6,,PHYTOPATHOLOGY,JUL 2001,91,,,192,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,7,5,10,9,11,6,16,11,5,12,13,17,7,16,11,7,11,5
"MOLECULAR CHARACTERIZATION OF THE PROTEINASE-ENCODING GENE, PRB1, RELATED TO MYCOPARASITISM BY TRICHODERMA-HARZIANUM",HERRERA ESTRELLA ALFREDO HERIBERTO,7,,MOLECULAR MICROBIOLOGY,MAY 1993,8,,,186,5.81,0,0,0,0,0,5,7,11,6,5,7,9,6,8,9,9,3,7,6,4,7,2,5,6,4,11,4,7,4,6,5,5,6,5,6,1
"CHARACTERIZATION OF ECH-42, A TRICHODERMA-HARZIANUM ENDOCHITINASE GENE EXPRESSED DURING MYCOPARASITISM",HERRERA ESTRELLA ALFREDO HERIBERTO,5,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,NOV 8 1994,91,,,183,5.9,0,0,0,0,0,0,2,9,7,8,12,5,5,7,7,5,5,10,6,7,9,6,4,10,4,8,10,6,5,4,4,6,5,1,2,4
Colonization of Arabidopsis roots by Trichoderma atroviride promotes growth and enhances systemic disease resistance through jasmonic acid/ethylene and salicylic acid pathways,HERRERA ESTRELLA ALFREDO HERIBERTO,6,,EUROPEAN JOURNAL OF PLANT PATHOLOGY,SEP 2011,131,,,167,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,9,7,7,19,12,22,20,14,23,15,3
Genome and transcriptome analysis of the Mesoamerican common bean and the role of gene duplications in establishing tissue and temporal specialization of genes,HERRERA ESTRELLA ALFREDO HERIBERTO,38,,GENOME BIOLOGY,FEB 25 2016,17,,,141,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,14,14,15,27,25,10,4
