Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bacteriophage targeting of gut bacterium attenuates alcoholic liver disease,BOSQUES PADILLA FRANCISCO JAVIER,46,,NATURE,NOV 21 2019,575.0,,,457,76.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,111,117,105,49
Intestinal Fungal Dysbiosis and Systemic Immune Response to Fungi in Patients With Alcoholic Hepatitis,BOSQUES PADILLA FRANCISCO JAVIER,24,,HEPATOLOGY,FEB 2020,71.0,,,153,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,33,33,42,17
Intestinal Fungal Dysbiosis and Systemic Immune Response to Fungi in Patients With Alcoholic Hepatitis,BOSQUES PADILLA FRANCISCO JAVIER,24,,HEPATOLOGY,,,,,153,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,33,33,42,17
Dysregulation of serum bile acids and FGF19 in alcoholic hepatitis,BOSQUES PADILLA FRANCISCO JAVIER,30,,JOURNAL OF HEPATOLOGY,AUG 2018,69.0,,,137,19.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,27,29,21,27,12
"A review of <i>Helicobacter pylori</i> diagnosis, treatment, and methods to detect eradication",BOSQUES PADILLA FRANCISCO JAVIER,4,,WORLD JOURNAL OF GASTROENTEROLOGY,FEB 14 2014,20.0,,,133,12.09,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,16,18,16,12,13,18,8,9
The <i>Candida albicans</i> exotoxin candidalysin promotes alcohol-associated liver disease,BOSQUES PADILLA FRANCISCO JAVIER,17,,JOURNAL OF HEPATOLOGY,MAR 2020,72.0,,,113,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,27,35,19
"Role of the polymorphic <i>IL-1B, IL-1RN</i> and <i>TNF-A</i> genes in distal gastric cancer in Mexico",BOSQUES PADILLA FRANCISCO JAVIER,7,,INTERNATIONAL JOURNAL OF CANCER,MAR 20 2005,114.0,,,107,5.35,0,0,0,2,15,5,11,8,6,6,8,5,10,5,4,9,3,3,2,2,1,1,1
Progression of Inflammatory Bowel Diseases Throughout Latin America and the Caribbean: A Systematic Review,BOSQUES PADILLA FRANCISCO JAVIER,15,,CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,FEB 2020,18.0,,,106,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,27,24,32,6
"Assessment of the toll-like receptor 4 Asp299Gly, Thr399Ile and interleukin-8-251 polymorphisms in the risk for the development of distal gastric cancer",BOSQUES PADILLA FRANCISCO JAVIER,6,,BMC CANCER,APR 26 2007,7.0,,,94,5.22,0,0,0,0,0,2,5,2,8,5,11,15,11,6,2,4,6,4,3,3,4,3,0
Cabbage and fermented vegetables: From death rate heterogeneity in countries to candidates for mitigation strategies of severe COVID-19,BOSQUES PADILLA FRANCISCO JAVIER,696,,ALLERGY,MAR 2021,76.0,,,70,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,27,19,3
Acetylsalicylic acid inhibits hepatitis C virus RNA and protein expression through cyclooxygenase 2 signaling pathways,BOSQUES PADILLA FRANCISCO JAVIER,8,,HEPATOLOGY,MAY 2008,47.0,,,59,3.47,0,0,0,0,0,0,0,3,4,4,1,6,2,4,4,2,4,2,5,7,4,4,3
