Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blockchain-based ubiquitous manufacturing: a secure and reliable cyber-physical system,GUERRA ZUBIAGA DAVID APOLINAR,5,,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,APR 2 2020,58,,,75,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,27,14,16,8
Intelligent E-commerce logistics platform using hybrid agent based approach,GUERRA ZUBIAGA DAVID APOLINAR,4,,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW,JUN 2019,126,,,66,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,15,18,15,4
An approach to develop a digital twin for industry 4.0 systems: manufacturing automation case studies,GUERRA ZUBIAGA DAVID APOLINAR,6,,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,SEP 2 2021,34,,,41,10.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,12,11
Design of a manufacturing knowledge model,GUERRA ZUBIAGA DAVID APOLINAR,2,,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2008,21,,,36,2.12,0,0,1,1,2,2,4,5,3,2,3,2,4,4,1,0,1,1,0
A manufacturing model to enable knowledge maintenance in decision support systems,GUERRA ZUBIAGA DAVID APOLINAR,2,,JOURNAL OF MANUFACTURING SYSTEMS,2006,25,,,20,1.05,0,0,1,0,2,3,2,2,0,0,1,0,1,3,1,0,2,2,0
An energy consumption approach in a manufacturing process using design of experiments,GUERRA ZUBIAGA DAVID APOLINAR,3,,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2018,31,,,19,2.71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,3,4,1
Sharing manufacturing information and knowledge in design decision and support,GUERRA ZUBIAGA DAVID APOLINAR,6,"Bramley, A; Brissaud, D; Coutellier, D; McMahon, C",ADVANCES IN INTEGRATED DESIGN AND MANUFACTURING IN MECHANICAL ENGINEERING,2005,,5th International Conference on Integrated Design and Manufacturing in Mechanical Engineering,"APR, 2004",19,0.95,1,3,3,1,0,0,0,2,2,4,0,1,0,1,0,0,0,1,0
Information and knowledge interrelationships within a manufacturing knowledge model,GUERRA ZUBIAGA DAVID APOLINAR,2,,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,OCT 2008,39,,,13,0.76,0,0,0,0,2,0,0,1,1,2,2,0,3,1,0,1,0,0,0
Energy consumption parameter analysis of industrial robots using design of experiment methodology,GUERRA ZUBIAGA DAVID APOLINAR,2,,INTERNATIONAL JOURNAL OF SUSTAINABLE ENGINEERING,SEP 3 2021,14,,,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2
A framework for modelling enterprise competencies: from theory to practice in enterprise architecture,GUERRA ZUBIAGA DAVID APOLINAR,3,,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,AUG 3 2015,28,,,12,1.2,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1,0
Cross cultural issues on globally dispersed design team performance:: The PACE project experiences,GUERRA ZUBIAGA DAVID APOLINAR,4,,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,2008,24,6th Mudd Design Workshop,"MAY 23-25, 2007",11,0.65,0,0,1,0,0,2,1,1,0,0,0,0,1,2,0,0,2,1,0
Knowledge sharing to support collaborative engineering at PLM environment,GUERRA ZUBIAGA DAVID APOLINAR,4,"Reimer, U; Karagiannis, D","PRACTICAL ASPECTS OF KNOWLEDGE MANAGEMENT, PROCEEDINGS",2006,4333,6th International Conference on Practical Aspects of Knowledge Management,"NOV 30-DEC 01, 2006",11,0.58,0,1,4,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Toward a Modeling Framework for Organizational Competency,GUERRA ZUBIAGA DAVID APOLINAR,3,"CamarinhaMatos, LM; Tomic, S; Graca, P",TECHNOLOGICAL INNOVATION FOR THE INTERNET OF THINGS,2013,394,"4th IFIP WG 5.5/SOCOLNET Doctoral Conference on Computing, Electrical and Industrial Systems, DoCEIS 2013","APR 15-17, 2013",7,0.58,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,0,0,0,0
Virtual breeding environment Working and sharing principles,GUERRA ZUBIAGA DAVID APOLINAR,4,"Konstantas, D; Bourrieres, JP; Leonard, M; Boudjlida, N",INTEROPERABILITY OF ENTERPRISE SOFTWARE AND APPLICATIONS,2006,,1st International Conference on Interoperability of Enterprise Software and Applications (I-ESA 2005),"FEB 21-25, 2005",7,0.37,0,1,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Product life-cycle management tools and collaborative tools applied to an automotive case study,GUERRA ZUBIAGA DAVID APOLINAR,5,,INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,2008,24,6th Mudd Design Workshop,"MAY 23-25, 2007",6,0.35,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
A manufacturing model to enable knowledge maintenance in decision support systems,GUERRA ZUBIAGA DAVID APOLINAR,2,,"Transactions of the North American Manufacturing Research Institution of SME 2005, Vol 33, 2005",2005,33,33rd North American Manufacturing Research Conference (NAMRC),"MAY 24-27, 2005",5,0.25,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
An intelligent hexapod robot for inspection of airframe components oriented by deep learning technique,GUERRA ZUBIAGA DAVID APOLINAR,6,,JOURNAL OF THE BRAZILIAN SOCIETY OF MECHANICAL SCIENCES AND ENGINEERING,NOV 2021,43,,,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Early problems identification in collaborative engineering with different product data modelling standards,GUERRA ZUBIAGA DAVID APOLINAR,4,,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2015,28,,,4,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0
