Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SECRETION BY TRYPANOSOMA-CRUZI OF A PEPTIDYL-PROLYL CIS-TRANS ISOMERASE INVOLVED IN CELL INFECTION,STOCK SILBERMAN ROBERTO PABLO,5,,EMBO JOURNAL,JUN 1 1995,14.0,,,95,3.17,0,3,2,3,3,2,2,3,3,2,2,4,2,4,4,3,9,5,3,6,4,6,3,2,3,0,3,3,5,1
Bringing antivenoms to Sub-Saharan Africa,STOCK SILBERMAN ROBERTO PABLO,4,,NATURE BIOTECHNOLOGY,FEB 2007,25.0,,,76,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,9,4,4,4,4,5,3,2,2,0,5,2,4,2
Characterization of a new polyvalent antivenom (Antivipmyn® Africa) against African vipers and elapids,STOCK SILBERMAN ROBERTO PABLO,9,,TOXICON,DEC 15 2008,52.0,,,70,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,5,5,4,7,3,3,3,2,6,8,4,4,2
Genetic and enzymatic characterization of sphingomyelinase D isoforms from the North American fiddleback spiders <i>Loxosceles boneti</i> and <i>Loxosceles reclusa</i>,STOCK SILBERMAN ROBERTO PABLO,7,,TOXICON,OCT 2004,44.0,,,64,3.05,0,0,0,0,0,0,0,0,0,0,5,6,7,6,7,4,5,2,3,3,2,3,1,2,1,3,0,2,2,0
Clinical trial of an F(ab')<sub>2</sub> polyvalent equine antivenom for African snake bites in Benin,STOCK SILBERMAN ROBERTO PABLO,4,,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,SEP 2007,77.0,,,62,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,8,2,8,3,4,4,2,2,7,2,1,2,6,1
North and South American <i>Loxosceles</i> spiders:: Development of a polyvalent antivenom with recombinant sphingomyelinases D as antigens,STOCK SILBERMAN ROBERTO PABLO,11,,TOXICON,JUL 2006,48.0,,,56,2.95,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2,4,3,4,4,2,0,1,1,4,8,4,6,2,1
Paraspecific neutralization of the venom of African species of cobra by an equine antiserum against <i>Naja melanoleuca</i>: A comparative study,STOCK SILBERMAN ROBERTO PABLO,7,,TOXICON,MAY 2009,53.0,,,54,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,6,1,2,2,4,4,3,7,5,5,2,3
Myotoxicity and nephrotoxicity by <i>Micrurus</i> venoms in experimental envenomation,STOCK SILBERMAN ROBERTO PABLO,3,,TOXICON,FEB 2012,59.0,,,41,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,3,4,3,7,5,7,2,1
Inhibition of gene expression in <i>Entamoeba histolytica</i> with antisense peptide nucleic acid oligomers,STOCK SILBERMAN ROBERTO PABLO,10,,NATURE BIOTECHNOLOGY,MAR 2001,19.0,,,40,1.67,0,0,0,0,0,0,3,4,9,5,4,0,0,3,1,1,1,0,1,1,3,1,0,0,1,0,1,0,1,0
MOLECULAR CHARACTERIZATION AND TRANSCRIPTION OF THE HISTONE H2B GENE FROM THE PROTOZOAN PARASITE TRYPANOSOMA-CRUZI,STOCK SILBERMAN ROBERTO PABLO,4,,MOLECULAR MICROBIOLOGY,SEP 1994,13.0,,,33,1.06,2,4,5,3,2,5,2,1,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tight Coupling of Metabolic Oscillations and Intracellular Water Dynamics in <i>Saccharomyces cerevisiae</i>,STOCK SILBERMAN ROBERTO PABLO,7,,PLOS ONE,FEB 23 2015,10.0,,,27,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,6,3,3,2
Sphingomyelinase D Activity in Model Membranes: Structural Effects of <i>in situ</i> Generation of Ceramide-1-Phosphate,STOCK SILBERMAN ROBERTO PABLO,8,,PLOS ONE,APR 25 2012,7.0,,,27,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,4,2,0,1,2,1,0,4,2
Neutralization of <i>Vipera</i> and <i>Macrovipera</i> venoms by two experimental polyvalent antisera: A study of paraspecificity,STOCK SILBERMAN ROBERTO PABLO,7,,TOXICON,JUN 2011,57.0,,,26,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,2,0,1,2,2,2,3,2,1
Methodology of clinical studies dealing with the treatment of envenomation,STOCK SILBERMAN ROBERTO PABLO,3,,TOXICON,JUN 15 2010,55.0,,,24,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,4,0,3,1,2,0,1,2,1,0
The sigmoidal curve of cancer,STOCK SILBERMAN ROBERTO PABLO,2,,NATURE BIOTECHNOLOGY,JAN 2003,21.0,,,21,0.95,0,0,0,0,0,0,0,0,5,4,2,3,1,0,0,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0
Cellular organization and appearance of differentiated structures in developing stages of the parasitic platyhelminth <i>Echinococcus granulosus</i>,STOCK SILBERMAN ROBERTO PABLO,8,,JOURNAL OF CELLULAR BIOCHEMISTRY,FEB 1 2005,94.0,,,20,1.0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,1,1,1,1,2,2,0,0,0,0,1,1,1,1,0
"Characterization of the <i>Eh</i>rab8 gene, a marker of the late stages of the secretory pathway of <i>Entamoeba histolytica</i>",STOCK SILBERMAN ROBERTO PABLO,6,,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,SEP 3 2001,116.0,,,20,0.83,0,0,0,0,0,0,0,3,0,2,4,1,1,0,0,1,2,0,1,0,0,2,1,0,1,0,1,0,0,0
"Use of antivenoms for the treatment of envenomation by Elapidae snakes in Guinea, Sub-Saharan Africa",STOCK SILBERMAN ROBERTO PABLO,5,,JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES,MAR 28 2013,19.0,,,19,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,1,2,2,0,1,3,1
Study of the efficacy of the black stone on envenomation by snake bite in the murine model,STOCK SILBERMAN ROBERTO PABLO,3,,TOXICON,APR 2007,49.0,,,18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,1,3,1,2,1,3,1
Entamoeba histolytica contains a gene encoding a homologue to the 54 kDa subunit of the signal recognition particle,STOCK SILBERMAN ROBERTO PABLO,7,,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,SEP 1997,88.0,,,18,0.64,0,0,0,1,2,7,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
The dynamics of intracellular water constrains glycolytic oscillations in <i>Saccharomyces cerevisiae</i>,STOCK SILBERMAN ROBERTO PABLO,5,,SCIENTIFIC REPORTS,NOV 24 2017,7.0,,,17,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,3,3,1
