Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2009,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Molecular-Level Modeling and Simulation of Vacuum Gas Oil Hydrocracking,ALVAREZ MAJMUTOV ANTON,3,,ENERGY & FUELS,JAN 2016,30,,,32,3.56,0,0,4,3,2,8,1,7,3,2,2
Deriving the Molecular Composition of Vacuum Distillates by Integrating Statistical Modeling and Detailed Hydrocarbon Characterization,ALVAREZ MAJMUTOV ANTON,3,,ENERGY & FUELS,DEC 2015,29,,,32,3.2,0,0,4,3,2,8,1,7,3,2,2
Co-processing of Hydrothermal Liquefaction Biocrude with Vacuum Gas Oil through Hydrotreating and Hydrocracking to Produce Low-Carbon Fuels,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,JUN 18 2020,34,,,29,5.8,0,0,0,0,0,0,0,9,6,7,7
Co-hydroprocessing HTL Biocrude from Waste Biomass with Bitumen-Derived Vacuum Gas Oil,ALVAREZ MAJMUTOV ANTON,4,,ENERGY & FUELS,NOV 2019,33,,,27,4.5,0,0,0,0,0,0,1,8,9,4,5
Modeling the molecular composition of vacuum residue from oil sand bitumen,ALVAREZ MAJMUTOV ANTON,3,,FUEL,APR 1 2019,241,,,26,4.33,0,0,0,0,0,3,5,7,3,5,3
Stochastic Modeling and Simulation Approach for Industrial Fixed Bed Hydrocrackers,ALVAREZ MAJMUTOV ANTON,2,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 21 2017,56,,,20,2.5,0,0,0,0,0,4,2,2,6,4,2
Deriving the Molecular Composition of Middle Distillates by Integrating Statistical Modeling with Advanced Hydrocarbon Characterization,ALVAREZ MAJMUTOV ANTON,6,,ENERGY & FUELS,DEC 2014,28,,,19,1.73,0,1,3,1,0,4,0,2,5,3,0
Bitumen partial upgrading by mild hydroprocessing in a fixed-bed reactor,ALVAREZ MAJMUTOV ANTON,3,,FUEL,JAN 1 2019,235,,,18,3.0,0,0,0,0,0,2,3,6,1,3,3
Co-Processing of Deoxygenated Pyrolysis Bio-Oil with Vacuum Gas Oil through Hydrocracking,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,JUN 17 2021,35,,,17,4.25,0,0,0,0,0,0,0,1,7,4,5
Hydrogenation of Olefins in Bitumen-Derived Naphtha over a Commercial Hydrotreating Catalyst,ALVAREZ MAJMUTOV ANTON,4,,ENERGY & FUELS,MAY 2018,32,,,17,2.43,0,0,0,0,0,2,5,5,1,2,2
Modeling and Simulation of a Multibed Industrial Hydrotreater with Vapor-Liquid Equilibrium,ALVAREZ MAJMUTOV ANTON,2,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUL 2 2014,53,,,14,1.27,0,1,3,1,1,3,0,3,1,0,1
Hydrotreatment of Olefins in Thermally Processed Bitumen under Mild Conditions,ALVAREZ MAJMUTOV ANTON,5,,ENERGY & FUELS,APR 2019,33,,,12,2.0,0,0,0,0,0,0,3,6,1,1,1
Understanding bitumen partial upgrading through process modelling and simulation,ALVAREZ MAJMUTOV ANTON,4,,CANADIAN JOURNAL OF CHEMICAL ENGINEERING,JAN 2021,99,,,11,2.2,0,0,0,0,0,0,0,5,0,3,3
