Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A comparative study of treatment of two-dimensional two-phase flows of steam by a Runge-Kutta and by Denton's methods,RODRIGUEZ LELIS JOSE MARIA,3,,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE,JUN 2007,221,,,38,2.11,2,0,0,2,1,4,2,0,4,4,1,2,4,3,2,5,2
Detection of damage in steam turbine blades caused by low cycle and strain cycling fatigue,RODRIGUEZ LELIS JOSE MARIA,7,,ENGINEERING FAILURE ANALYSIS,MAR 2019,97,,,28,4.67,0,0,0,0,0,0,0,0,0,0,0,3,4,6,5,7,3
Diagnostic and failure analysis in blades of a 300 MW steam turbine,RODRIGUEZ LELIS JOSE MARIA,6,,ENGINEERING FAILURE ANALYSIS,DEC 2017,82,,,17,2.13,0,0,0,0,0,0,0,0,0,0,2,4,3,3,2,3,0
Failure probability estimation of steam turbine blades by enhanced Monte Carlo Method,RODRIGUEZ LELIS JOSE MARIA,6,,ENGINEERING FAILURE ANALYSIS,OCT 2015,56,6th International Conference on Engineering Failure Analysis (ICEFA),"JUL 06-09, 2014",14,1.4,0,0,0,0,0,0,0,0,0,2,1,4,2,0,0,4,1
Adhesion strength in laminated glazings containing multilayer solar control coatings,RODRIGUEZ LELIS JOSE MARIA,6,,JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,JUN 2012,26,,,11,0.85,0,0,0,0,0,0,2,1,0,1,0,1,2,1,3,0,0
Entropy generation as an environmental impact indicator and a sample application to freshwater ecosystems eutrophication,RODRIGUEZ LELIS JOSE MARIA,4,,ENERGY,NOV 1 2013,61,,,9,0.75,0,0,0,0,0,0,0,0,0,1,1,0,2,1,3,1,0
A general exergy-based environmental impact index,RODRIGUEZ LELIS JOSE MARIA,3,,JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,AUG 2011,25,,,8,0.57,0,0,0,0,1,2,1,0,0,0,1,1,1,0,0,1,0
Diamond like carbon coating of ball bearings for raceway surface by triboadhesion,RODRIGUEZ LELIS JOSE MARIA,5,,INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES,FEB 2014,21,,,4,0.36,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
Deposition of diamond in copper by triboadhesion,RODRIGUEZ LELIS JOSE MARIA,4,,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,AUG 2003,125,,,4,0.18,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A PASSIVE STATE SIMULATION OF AN ANAL SPHINCTER USING SIMMECHANICS,RODRIGUEZ LELIS JOSE MARIA,6,,JOURNAL OF MECHANICS IN MEDICINE AND BIOLOGY,SEP 2018,18,,,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
A Biomimetic Approach for Designing a Full External Breast Prosthesis: Post-Mastectomy,RODRIGUEZ LELIS JOSE MARIA,7,,APPLIED SCIENCES-BASEL,MAR 2018,8,,,3,0.43,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
A portable system with sample rate of 250 Hz for characterization of knee and hip angles in the sagittal plane during gait,RODRIGUEZ LELIS JOSE MARIA,6,,BIOMEDICAL ENGINEERING ONLINE,MAR 31 2014,13,,,3,0.27,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Iron oxide coating films in soda-lime glass by triboadhesion,RODRIGUEZ LELIS JOSE MARIA,3,,JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY,APR 2009,23,4th Asian Conference on Multibody Dynamics,"AUG 20-23, 2008",3,0.19,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Effect of Bushing Miniaturization on the Static Friction Coefficient,RODRIGUEZ LELIS JOSE MARIA,5,,JOURNAL OF TESTING AND EVALUATION,JUL 2016,44,,,2,0.22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Design of a low cost measurement system based on accelerometers for gait analysis,RODRIGUEZ LELIS JOSE MARIA,6,,ACTA SCIENTIARUM-TECHNOLOGY,2014,36,,,2,0.18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A Morlet Wavelet Signal Analysis With a Daubechies Filter for the Wear Assessment of Hip Prostheses Coated With Diamond-Like Carbon by Triboadhesion,RODRIGUEZ LELIS JOSE MARIA,6,,JOURNAL OF APPLIED BIOMECHANICS,AUG 2010,26,,,1,0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
